,objectId,srcObject,regionKey,objectType,objectCn,objectCon,subjectId,regionId,settlementId,street,house,addressNotes,okato,apartment,nobjectCn,nobjectCon
76,77:5:6004:10648,1,177,002009000000,77:05:0006004:10648,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 136",,136,77:5:6004:10648,
77,77:5:6004:10155,1,177,002009000000,77:05:0006004:10155,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 137",,137,77:5:6004:10155,
78,177_367277301,2,177,002002002000,77:05:0006004:10155,1-1015432,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 137",,137,77:5:6004:10155,1-1015432
79,77:5:6004:10156,1,177,002009000000,77:05:0006004:10156,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 138",,138,77:5:6004:10156,
80,77:5:6004:10157,1,177,002009000000,77:05:0006004:10157,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 139",,139,77:5:6004:10157,
81,77:5:6004:10227,1,177,002009000000,77:05:0006004:10227,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 14",,14,77:5:6004:10227,
82,177_367278301,2,177,002002002000,77:05:0006004:10227,1-667018,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 14",,14,77:5:6004:10227,1-667018
83,77:5:6004:10170,1,177,002009000000,77:05:0006004:10170,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 140",,140,77:5:6004:10170,
84,177_12398279301,2,177,002002002000,77:05:0006004:10170,1-2937090,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 140",,140,77:5:6004:10170,1-2937090
85,77:5:6004:10171,1,177,002009000000,77:05:0006004:10171,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 141",,141,77:5:6004:10171,
86,177_1373180301,2,177,002002002000,77:05:0006004:10171,1-1462422,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 141",,141,77:5:6004:10171,1-1462422
87,77:5:6004:10172,1,177,002009000000,77:05:0006004:10172,,145000000000,145296000000,145296593000,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 142",,142,77:5:6004:10172,
88,177_367279301,2,177,002002002000,77:05:0006004:10172,77-77-05/005/2006-956,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 142",,142,77:5:6004:10172,77-77-5/5/2006-956
89,77:5:6004:10173,1,177,002009000000,77:05:0006004:10173,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 143",,143,77:5:6004:10173,
90,177_1074263452001,2,177,002002002000,77:05:0006004:10173,77-77/001-77/005/252/2015-503,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.143",,143,77:5:6004:10173,77-77/1-77/5/252/2015-503
91,77:5:6004:10202,1,177,002009000000,77:05:0006004:10202,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 144",,144,77:5:6004:10202,
92,177_1460458301,2,177,002002002000,77:05:0006004:10202,1-1560284,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.144",,144,77:5:6004:10202,1-1560284
93,77:5:6004:10203,1,177,002009000000,77:05:0006004:10203,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 145",,145,77:5:6004:10203,
94,177_367280301,2,177,002002002000,77:05:0006004:10203,77-77-05/040/2010-908,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 145",,145,77:5:6004:10203,77-77-5/40/2010-908
95,77:5:6004:10204,1,177,002009000000,77:05:0006004:10204,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 146",,146,77:5:6004:10204,
96,177_1138481580001,2,177,002002002000,77:05:0006004:10204,77-77/019-77/005/252/2015-912,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.146",,146,77:5:6004:10204,77-77/19-77/5/252/2015-912
97,77:5:6004:10205,1,177,002009000000,77:05:0006004:10205,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 147",,147,77:5:6004:10205,
98,177_367281301,2,177,002002002000,77:05:0006004:10205,1-104736,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.147",,147,77:5:6004:10205,1-104736
99,77:5:6004:10234,1,177,002009000000,77:05:0006004:10234,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 148",,148,77:5:6004:10234,
100,177_14090872301,2,177,002002002000,77:05:0006004:10234,77-77-05/061/2008-626,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 148",,148,77:5:6004:10234,77-77-5/61/2008-626
101,77:5:6004:10235,1,177,002009000000,77:05:0006004:10235,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 149",,149,77:5:6004:10235,
102,177_12440071301,2,177,002002002000,77:05:0006004:10235,1-2978648,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 149",,149,77:5:6004:10235,1-2978648
